ID da Conta;Tipo de Conta;Descrição Detalhada;Valor Previsto (R$);Data de Vencimento;Categoria Financeira;Status da Cobrança;Parceiro;Condição de Pgto
CP014;Pagar;Impostos Estaduais (ICMS);-4200;15/12/2025;Impostos;Pago;Governo;Mensal
CR014;Receber;Serviços Adicionais Dezembro;5500;28/12/2025;Serviços Recorrentes;Pago;Empresa Serviços X;30 DDL
CP015;Pagar;Marketing Digital (Janeiro);-1800;05/01/2026;Marketing;Aberto;Agência Digital;Mensal
CR015;Receber;Venda de Lote 28;19000;15/01/2026;Vendas Futuras;Aberto;Cliente Delta;30 DDL
CP016;Pagar;Manutenção de Equipamentos;-950;22/01/2026;Despesas Operacionais;Atrasado;Técnico W;À Vista
CR016;Receber;Serviço Recorrente (Atrasado);3500;25/01/2026;Serviços Recorrentes;Atrasado;Empresa Serviços Y;Mensal
CP017;Pagar;Taxas Bancárias (Nov);-150;30/11/2025;Despesas Operacionais;Pago;Banco A;Mensal
CR017;Receber;Venda de Produto Promocional;850;03/12/2025;Vendas Futuras;Pago;Cliente Kappa;À Vista
CP018;Pagar;Telefonia e Internet;-620;10/12/2025;Despesas Operacionais;Aberto;Operadora Vivo;Mensal
CR018;Receber;Consultoria de Janeiro;7800;10/01/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP019;Pagar;Reforma do Escritório (2/3);-10000;01/01/2026;Fornecedores;Cancelado;Construtora M;3x
CR019;Receber;Venda de Lote 29;16000;25/01/2026;Vendas Futuras;Aberto;Cliente Alfa;15 DDL
CP020;Pagar;Seguro Empresarial (Anual);-4500;05/12/2025;Despesas Operacionais;Pago;Seguradora S;Anual
CR020;Receber;Taxa de Adesão (Nova);1500;18/11/2025;Renda Extra;Pago;Novo Cliente R;À Vista
CP021;Pagar;Material de Limpeza;-350;28/11/2025;Despesas Operacionais;Pago;Fornecedor Zeta;À Vista
CR021;Receber;Projeto Piloto (Receber);5200;08/12/2025;Vendas Futuras;Atrasado;Cliente Sigma;45 DDL
CP022;Pagar;Serviço de Limpeza (Dezembro);-550;15/12/2025;Despesas Operacionais;Pago;Empresa de Limpeza;Mensal
CR022;Receber;Recuperação de Crédito (Receber);2500;24/12/2025;Renda Extra;Pago;Cliente Antigo;À Vista
CP023;Pagar;Adiantamento de Fornecedor;-6000;03/01/2026;Fornecedores;Aberto;Fornecedor Gama;30 DDL
CR023;Receber;Venda Lote 30 (Cancelada);13000;06/01/2026;Vendas Futuras;Cancelado;Cliente Lambda;30 DDL
CP024;Pagar;IPVA Frota (1/3);-2800;12/01/2026;Impostos;Aberto;Governo;3x
CR024;Receber;Comissão de Venda (Receber);4500;17/01/2026;Renda Extra;Aberto;Vendedor Externo;Mensal
CP025;Pagar;Serviço de Contador;-1500;27/01/2026;Despesas Operacionais;Aberto;Escritório Contábil;Mensal
CR025;Receber;Serviço Recorrente (Fevereiro);3500;25/01/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP026;Pagar;Mensalidade de Software (Nov);-950;05/12/2025;Despesas Operacionais;Pago;Fornecedor de TI;Boleto
CP027;Pagar;Compra de Matéria-Prima (Pedido 56);-22000;10/12/2025;Fornecedores;Pago;Fornecedor Alfa;30 DDL
CR026;Receber;Fatura de Venda Lote 31;11000;15/12/2025;Vendas Futuras;Pago;Cliente Mu;15 DDL
CP028;Pagar;Salários de Janeiro (Provisão);-23000;20/01/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR027;Receber;Pagamento de Serviços Recorrentes (Dez);3500;25/12/2025;Serviços Recorrentes;Pago;Empresa Serviços Z;Mensal
CP029;Pagar;Campanha de Natal (1ª parcela);-6000;01/12/2025;Marketing;Atrasado;Agência Digital;2x
CR028;Receber;Venda de Produto Padrão;800;05/01/2026;Vendas Futuras;Aberto;Cliente Beta;À Vista
CP030;Pagar;Aluguel do Escritório (Jan);-3500;07/01/2026;Despesas Operacionais;Atrasado;Imobiliária Central;Mensal
CR029;Receber;Consultoria de Fevereiro;7800;10/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP031;Pagar;Sistema de Gestão (Mensalidade);-1500;12/01/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CR030;Receber;Venda de Lote 32;25000;15/01/2026;Vendas Futuras;Aberto;Cliente Tau;15 DDL
CP032;Pagar;Impostos Municipais (IPTU);-3200;20/01/2026;Impostos;Aberto;Governo;Anual
CR031;Receber;Renda Passiva (Investimento);2500;22/01/2026;Renda Extra;Pago;Fundo Imobiliário;Mensal
CP033;Pagar;Vale Transporte (Jan);-1200;25/01/2026;Folha de Pagamento;Pago;RH - Funcionários;Mensal
CR032;Receber;Serviço Recorrente (Entrada);3500;25/01/2026;Serviços Recorrentes;Pago;Empresa Serviços Y;Mensal
CP034;Pagar;Marketing Digital (Dezembro);-1800;05/12/2025;Marketing;Pago;Agência Digital;Mensal
CR033;Receber;Venda de Produto Especial (Dez);1200;05/12/2025;Vendas Futuras;Pago;Cliente Gama;À Vista
CP035;Pagar;Manutenção Predial (Dezembro);-700;18/12/2025;Despesas Operacionais;Atrasado;Técnico Y;À Vista
CR034;Receber;Venda de Lote 33;18000;20/12/2025;Vendas Futuras;Atrasado;Cliente Delta;15 DDL
CP036;Pagar;Reforma do Escritório (3/3);-10000;01/02/2026;Fornecedores;Aberto;Construtora M;3x
CR035;Receber;Serviços Recorrentes (Fevereiro);3500;25/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;Mensal
CP037;Pagar;Compra de Insumos (Jan);-15000;10/01/2026;Fornecedores;Pago;Fornecedor Delta;30 DDL
CR036;Receber;Atrasado de Cliente Antigo;5000;12/01/2026;Renda Extra;Pago;Cliente Alfa;60 DDL
CP038;Pagar;Taxas Bancárias (Dez);-150;30/12/2025;Despesas Operacionais;Pago;Banco A;Mensal
CR037;Receber;Venda de Lote 34;28000;15/01/2026;Vendas Futuras;Aberto;Cliente Tau;15 DDL
CP039;Pagar;Telefonia e Internet (Jan);-620;10/01/2026;Despesas Operacionais;Pago;Operadora Vivo;Mensal
CR038;Receber;Taxa de Consultoria (Jan);1500;28/01/2026;Serviços Recorrentes;Atrasado;Empresa Serviços Z;Mensal
CP040;Pagar;Seguro de Carros (Mensal);-800;05/01/2026;Despesas Operacionais;Atrasado;Seguradora S;Mensal
CR039;Receber;Venda de Serviço Avulso;9000;07/11/2025;Vendas Futuras;Pago;Cliente Kappa;À Vista
CP041;Pagar;Material de Escritório (Jan);-450;28/01/2026;Despesas Operacionais;Aberto;Papelaria Central;À Vista
CR040;Receber;Aluguel de Máquina (Renda Extra);800;10/11/2025;Renda Extra;Pago;Locatário Z;Mensal
CP042;Pagar;Serviço de Limpeza (Jan);-550;15/01/2026;Despesas Operacionais;Pago;Empresa de Limpeza;Mensal
CR041;Receber;Venda Lote 35;19500;20/01/2026;Vendas Futuras;Aberto;Cliente Alfa;15 DDL
CP043;Pagar;Compra de Equipamento (Parcela);-2000;03/02/2026;Fornecedores;Aberto;Distribuidora X;4x
CR042;Receber;Comissão de Venda (Dez);4500;17/12/2025;Renda Extra;Pago;Vendedor Interno;Mensal
CP044;Pagar;IPVA Frota (2/3);-2800;12/02/2026;Impostos;Aberto;Governo;3x
CR043;Receber;Serviço de Treinamento (Fev);2100;20/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP045;Pagar;Serviço de Contador (Fev);-1500;27/02/2026;Despesas Operacionais;Aberto;Escritório Contábil;Mensal
CR044;Receber;Serviço Recorrente (Março);3500;25/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP046;Pagar;Mensalidade de Software (Jan);-950;05/02/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CP047;Pagar;Compra de Matéria-Prima (Pedido 57);-28000;10/02/2026;Fornecedores;Aberto;Fornecedor Beta;30 DDL
CR045;Receber;Fatura de Venda Lote 36;15000;15/02/2026;Vendas Futuras;Aberto;Cliente Gama;15 DDL
CP048;Pagar;Salários de Fevereiro (Provisão);-23000;20/02/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR046;Receber;Pagamento de Serviços Recorrentes (Jan);3500;25/01/2026;Serviços Recorrentes;Pago;Empresa Serviços Z;Mensal
CP049;Pagar;Campanha de Natal (2ª parcela);-6000;01/01/2026;Marketing;Pago;Agência Digital;2x
CR047;Receber;Venda Urgente (Jan);500;03/01/2026;Vendas Futuras;Pago;Cliente Beta;PIX
CP050;Pagar;Aluguel do Escritório (Fev);-3500;07/02/2026;Despesas Operacionais;Aberto;Imobiliária Central;Mensal
CR048;Receber;Consultoria de Março;7800;10/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP051;Pagar;Sistema de Gestão (Mensalidade Fev);-1500;12/02/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CR049;Receber;Venda de Lote 37;30000;15/02/2026;Vendas Futuras;Aberto;Cliente Delta;15 DDL
CP052;Pagar;Impostos Federais (IRPJ/CSLL Jan);-5800;20/02/2026;Impostos;Aberto;Governo;Mensal
CR050;Receber;Dividendo de Ações (Renda Extra);1500;22/02/2026;Renda Extra;Pago;Corretora C;Mensal
CP053;Pagar;Vale Transporte (Fev);-1200;25/02/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR051;Receber;Serviço Recorrente (Fevereiro);3500;25/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP054;Pagar;Marketing de Lançamento;-8000;05/02/2026;Marketing;Aberto;Agência Digital;À Vista
CR052;Receber;Venda de Produto Especial (Fev);1200;05/02/2026;Vendas Futuras;Atrasado;Cliente Tau;À Vista
CP055;Pagar;Manutenção Predial (Jan);-700;18/01/2026;Despesas Operacionais;Pago;Técnico Y;À Vista
CR053;Receber;Venda de Lote 38;11500;20/02/2026;Vendas Futuras;Aberto;Cliente Mu;15 DDL
CP056;Pagar;Compra de Equipamento (Parcela);-2000;03/03/2026;Fornecedores;Aberto;Distribuidora X;4x
CR054;Receber;Serviços Recorrentes (Março);3500;25/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;Mensal
CP057;Pagar;Compra de Insumos (Fev);-12000;10/02/2026;Fornecedores;Aberto;Fornecedor Delta;30 DDL
CR055;Receber;Comissão de Venda (Jan);4500;17/01/2026;Renda Extra;Pago;Vendedor Externo;Mensal
CP058;Pagar;Taxas Bancárias (Jan);-150;30/01/2026;Despesas Operacionais;Pago;Banco A;Mensal
CR056;Receber;Venda de Lote 39;22000;15/02/2026;Vendas Futuras;Atrasado;Cliente Gama;15 DDL
CP059;Pagar;Telefonia e Internet (Fev);-620;10/02/2026;Despesas Operacionais;Aberto;Operadora Vivo;Mensal
CR057;Receber;Taxa de Consultoria (Fev);1500;28/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP060;Pagar;Seguro de Carros (Mensal Fev);-800;05/02/2026;Despesas Operacionais;Aberto;Seguradora S;Mensal
CR058;Receber;Venda de Serviço Avulso (Fev);7000;07/02/2026;Vendas Futuras;Aberto;Cliente Kappa;À Vista
CP061;Pagar;Material de Escritório (Fev);-450;28/02/2026;Despesas Operacionais;Aberto;Papelaria Central;À Vista
CR059;Receber;Aluguel de Equipamento (Renda Extra);800;10/02/2026;Renda Extra;Aberto;Locatário Z;Mensal
CP062;Pagar;Serviço de Limpeza (Fev);-550;15/02/2026;Despesas Operacionais;Aberto;Empresa de Limpeza;Mensal
CR060;Receber;Venda Lote 40;16000;20/02/2026;Vendas Futuras;Aberto;Cliente Alfa;15 DDL
CP063;Pagar;IPVA Frota (3/3);-2800;12/03/2026;Impostos;Aberto;Governo;3x
CR061;Receber;Comissão de Venda (Fev);4500;17/02/2026;Renda Extra;Aberto;Vendedor Interno;Mensal
CP064;Pagar;Serviço de Contador (Mar);-1500;27/03/2026;Despesas Operacionais;Aberto;Escritório Contábil;Mensal
CR062;Receber;Serviço de Treinamento (Mar);2100;20/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP065;Pagar;Mensalidade de Software (Fev);-950;05/03/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CP066;Pagar;Compra de Matéria-Prima (Pedido 58);-15000;10/03/2026;Fornecedores;Aberto;Fornecedor Alfa;30 DDL
CR063;Receber;Fatura de Venda Lote 41;10500;15/03/2026;Vendas Futuras;Aberto;Cliente Mu;15 DDL
CP067;Pagar;Salários de Março (Provisão);-23000;20/03/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR064;Receber;Pagamento de Serviços Recorrentes (Fev);3500;25/02/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP068;Pagar;Marketing de Conteúdo (Mar);-3000;01/03/2026;Marketing;Aberto;Agência Digital;Mensal
CR065;Receber;Venda de Produto (Mar);800;05/03/2026;Vendas Futuras;Aberto;Cliente Beta;À Vista
CP069;Pagar;Aluguel do Escritório (Mar);-3500;07/03/2026;Despesas Operacionais;Aberto;Imobiliária Central;Mensal
CR066;Receber;Consultoria de Abril;7800;10/04/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP070;Pagar;Sistema de Gestão (Mensalidade Mar);-1500;12/03/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CR067;Receber;Venda de Lote 42;19000;15/03/2026;Vendas Futuras;Aberto;Cliente Tau;15 DDL
CP071;Pagar;Impostos Estaduais (ICMS Fev);-4200;20/03/2026;Impostos;Aberto;Governo;Mensal
CR068;Receber;Renda Extra (Mar);1500;22/03/2026;Renda Extra;Aberto;Parceiro Eventual;PIX
CP072;Pagar;Vale Transporte (Mar);-1200;25/03/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR069;Receber;Serviço Recorrente (Março);3500;25/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP073;Pagar;Marketing de Performance (Mar);-5000;05/03/2026;Marketing;Aberto;Agência Digital;À Vista
CR070;Receber;Venda de Produto (Mar);1200;05/03/2026;Vendas Futuras;Aberto;Cliente Gama;À Vista
CP074;Pagar;Manutenção Predial (Fev);-700;18/02/2026;Despesas Operacionais;Aberto;Técnico Y;À Vista
CR071;Receber;Venda de Lote 43;17000;20/03/2026;Vendas Futuras;Aberto;Cliente Delta;15 DDL
CP075;Pagar;Compra de Equipamento (Parcela);-2000;03/04/2026;Fornecedores;Aberto;Distribuidora X;4x
CR072;Receber;Serviços Recorrentes (Abril);3500;25/04/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;Mensal
CP076;Pagar;Compra de Insumos (Mar);-11000;10/03/2026;Fornecedores;Aberto;Fornecedor Delta;30 DDL
CR073;Receber;Comissão de Venda (Mar);4500;17/03/2026;Renda Extra;Aberto;Vendedor Interno;Mensal
CP077;Pagar;Taxas Bancárias (Fev);-150;30/03/2026;Despesas Operacionais;Aberto;Banco A;Mensal
CR074;Receber;Venda de Lote 44;14500;15/03/2026;Vendas Futuras;Aberto;Cliente Mu;15 DDL
CP078;Pagar;Telefonia e Internet (Mar);-620;10/03/2026;Despesas Operacionais;Aberto;Operadora Vivo;Mensal
CR075;Receber;Taxa de Consultoria (Mar);1500;28/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP079;Pagar;Seguro de Carros (Mensal Mar);-800;05/03/2026;Despesas Operacionais;Aberto;Seguradora S;Mensal
CR076;Receber;Venda de Serviço Avulso (Mar);6500;07/03/2026;Vendas Futuras;Aberto;Cliente Kappa;À Vista
CP080;Pagar;Material de Escritório (Mar);-450;28/03/2026;Despesas Operacionais;Aberto;Papelaria Central;À Vista
CR077;Receber;Aluguel de Galpão (Renda Extra);1200;10/03/2026;Renda Extra;Aberto;Locatário Y;Mensal
CP081;Pagar;Serviço de Limpeza (Mar);-550;15/03/2026;Despesas Operacionais;Aberto;Empresa de Limpeza;Mensal
CR078;Receber;Venda Lote 45;21000;20/03/2026;Vendas Futuras;Aberto;Cliente Alfa;15 DDL
CP082;Pagar;Compra de Equipamento (Parcela);-2000;03/05/2026;Fornecedores;Aberto;Distribuidora X;4x
CR079;Receber;Comissão de Venda (Abril);4500;17/04/2026;Renda Extra;Aberto;Vendedor Externo;Mensal
CP083;Pagar;Serviço de Contador (Abril);-1500;27/04/2026;Despesas Operacionais;Aberto;Escritório Contábil;Mensal
CR080;Receber;Serviço de Treinamento (Abril);2100;20/04/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP084;Pagar;Mensalidade de Software (Mar);-950;05/04/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CP085;Pagar;Compra de Matéria-Prima (Pedido 59);-25000;10/04/2026;Fornecedores;Aberto;Fornecedor Beta;30 DDL
CR081;Receber;Fatura de Venda Lote 46;18000;15/04/2026;Vendas Futuras;Aberto;Cliente Gama;15 DDL
CP086;Pagar;Salários de Abril (Provisão);-23000;20/04/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR082;Receber;Pagamento de Serviços Recorrentes (Mar);3500;25/03/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP087;Pagar;Marketing de Páscoa;-4000;01/04/2026;Marketing;Aberto;Agência Digital;À Vista
CR083;Receber;Venda de Produto (Abril);800;05/04/2026;Vendas Futuras;Aberto;Cliente Beta;À Vista
CP088;Pagar;Aluguel do Escritório (Abril);-3500;07/04/2026;Despesas Operacionais;Aberto;Imobiliária Central;Mensal
CR084;Receber;Consultoria de Maio;7800;10/05/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP089;Pagar;Sistema de Gestão (Mensalidade Abr);-1500;12/04/2026;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CR085;Receber;Venda de Lote 47;17000;15/04/2026;Vendas Futuras;Aberto;Cliente Delta;15 DDL
CP090;Pagar;Impostos Federais (IRPJ/CSLL Mar);-5800;20/04/2026;Impostos;Aberto;Governo;Mensal
CR086;Receber;Renda Extra (Abril);1500;22/04/2026;Renda Extra;Aberto;Parceiro Eventual;PIX
CP091;Pagar;Vale Transporte (Abril);-1200;25/04/2026;Folha de Pagamento;Aberto;RH - Funcionários;Mensal
CR087;Receber;Serviço Recorrente (Abril);3500;25/04/2026;Serviços Recorrentes;Aberto;Empresa Serviços Y;Mensal
CP092;Pagar;Marketing de Branding (Abril);-6000;05/04/2026;Marketing;Aberto;Agência Digital;À Vista
CR088;Receber;Venda de Produto (Abril);1200;05/04/2026;Vendas Futuras;Aberto;Cliente Tau;À Vista
CP093;Pagar;Manutenção Predial (Mar);-700;18/03/2026;Despesas Operacionais;Aberto;Técnico Y;À Vista
CR089;Receber;Venda de Lote 48;13000;20/04/2026;Vendas Futuras;Aberto;Cliente Mu;15 DDL
CP094;Pagar;Compra de Equipamento (Parcela);-2000;03/06/2026;Fornecedores;Aberto;Distribuidora X;4x
CR090;Receber;Serviços Recorrentes (Maio);3500;25/05/2026;Serviços Recorrentes;Aberto;Empresa Serviços K;Mensal
CP095;Pagar;Compra de Insumos (Abril);-18000;10/04/2026;Fornecedores;Aberto;Fornecedor Delta;30 DDL
CR091;Receber;Comissão de Venda (Abril);4500;17/04/2026;Renda Extra;Aberto;Vendedor Interno;Mensal
CP096;Pagar;Taxas Bancárias (Mar);-150;30/04/2026;Despesas Operacionais;Aberto;Banco A;Mensal
CR092;Receber;Venda de Lote 49;26000;15/04/2026;Vendas Futuras;Aberto;Cliente Gama;15 DDL
CP097;Pagar;Telefonia e Internet (Abril);-620;10/04/2026;Despesas Operacionais;Aberto;Operadora Vivo;Mensal
CR093;Receber;Taxa de Consultoria (Abril);1500;28/04/2026;Serviços Recorrentes;Aberto;Empresa Serviços Z;Mensal
CP098;Pagar;Seguro de Carros (Mensal Abr);-800;05/04/2026;Despesas Operacionais;Aberto;Seguradora S;Mensal
CR094;Receber;Venda de Serviço Avulso (Abril);8000;07/04/2026;Vendas Futuras;Aberto;Cliente Kappa;À Vista
CP099;Pagar;Material de Escritório (Abril);-450;28/04/2026;Despesas Operacionais;Aberto;Papelaria Central;À Vista
CR095;Receber;Aluguel de Garagem (Renda Extra);500;10/04/2026;Renda Extra;Aberto;Locatário W;Mensal
CP100;Pagar;Serviço de Limpeza (Abril);-550;15/04/2026;Despesas Operacionais;Aberto;Empresa de Limpeza;Mensal
