ID Transação;Data;Hora;Tipo;Valor (R$);Descrição;Categoria;Conta;Meio de Pgto;Status;Estabelecimento;ID da Conta
T09_013;05/09/2025;18:30:00;Saída;-120;Manutenção de Emergência;Despesas Operacionais;Caixa;Dinheiro;Compensado;Serviço Reparos;CR006
T09_014;06/09/2025;10:10:00;Entrada;4.100,00;Venda Lote 3;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Zeta;CP008
T09_015;06/09/2025;14:50:00;Saída;-1.500,00;Pagamento de Serviços Terceirizados;Despesas Operacionais;Banco A (Corrente);PIX;Compensado;Prestador X;CR007
T09_016;08/09/2025;11:00:00;Entrada;2.500,00;Venda no Fim de Semana;Vendas;Banco B (Poupança);PIX;Compensado;Cliente Eta;CP009
T09_017;09/09/2025;09:00:00;Saída;-800;Conta de Luz;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Energia;CR008
T09_018;09/09/2025;14:20:00;Entrada;6.000,00;Venda Lote 4;Vendas;Banco A (Corrente);TED;Compensado;Cliente Theta;CP010
T09_019;10/09/2025;16:40:00;Saída;-500;Despesas com Viagem;Despesas Operacionais;Cartão Crédito;Cartão Crédito;Compensado;Cia Aérea;CR009
T09_020;11/09/2025;10:50:00;Entrada;1.200,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CP011
T09_021;11/09/2025;17:15:00;Saída;-40.000,00;Compra de Matéria-Prima (Alta);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Kappa;CR010
T09_022;12/09/2025;11:00:00;Entrada;3.000,00;Venda Lote 5;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Lambda;CR011
T09_023;12/09/2025;19:40:00;Saída;-150;Taxa Bancária (incoerência de horário);Despesas Operacionais;Banco A (Corrente);Débito Automático;Compensado;Banco A;CP012
T09_024;15/09/2025;08:30:00;Saída;-2.500,00;Manutenção de Equipamentos;Despesas Operacionais;Banco A (Corrente);Boleto;Compensado;Serviço Manutenção;CR012
T09_025;15/09/2025;14:00:00;Entrada;7.500,00;Venda Lote 6;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Mu;CP013
T09_026;16/09/2025;11:45:00;Entrada;1.500,00;Prestação de Serviço (Pequeno Cliente);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Cliente Nu;CR013
T09_027;17/09/2025;16:50:00;Saída;-5.000,00;Reforço de Estoque;Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Xi;CP014
T09_028;18/09/2025;09:30:00;Entrada;4.800,00;Venda Lote 7;Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Omicron;CR014
T09_029;19/09/2025;13:20:00;Saída;-1.200,00;Despesas com Combustível;Despesas Operacionais;Cartão Crédito;Cartão Crédito;Compensado;Posto Sigma;CP015
T09_030;20/09/2025;10:00:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 3);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino C;CR015
T09_031;22/09/2025;14:00:00;Saída;-22.000,00;Salários (Parte Final);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CP016
T09_032;23/09/2025;16:00:00;Entrada;6.200,00;Venda Lote 8;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Pi;CR016
T09_033;24/09/2025;11:30:00;Saída;-1.000,00;Despesa com Contabilidade;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Escritório Contábil;CP017
T09_034;25/09/2025;15:45:00;Entrada;3.800,00;Prestação de Serviço (Fechamento);Prestação de Serviços;Banco A (Corrente);TED;Compensado;Empresa Serviços Z;CR017
T09_035;26/09/2025;09:00:00;Saída;-500;Multa por Atraso (incoerência);Multas/Juros;Banco A (Corrente);Débito Automático;Compensado;Fornecedor Kappa;CP018
T09_036;29/09/2025;12:15:00;Entrada;7.000,00;Venda Lote 9;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Rho;CR018
T10_001;01/10/2025;10:30:00;Entrada;5.500,00;Venda Lote 10;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Upsilon;CP019
T10_002;02/10/2025;16:00:00;Saída;-30.000,00;Pagamento Fornecedor Grande;Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Phi;CR019
T10_003;03/10/2025;11:00:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CP020
T10_004;04/10/2025;07:45:00;Saída;-80;Café da Manhã Corporativo;Despesas Operacionais;Caixa;Dinheiro;Compensado;Padaria Zeta;CR020
T10_005;06/10/2025;14:30:00;Entrada;4.200,00;Venda Lote 11;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Chi;CP021
T10_006;07/10/2025;15:00:00;Saída;-1.500,00;Consultoria Jurídica;Despesas Operacionais;Banco A (Corrente);Boleto;Compensado;Escritório Jurídico;CR021
T10_007;08/10/2025;10:00:00;Entrada;2.500,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);PIX;Compensado;Empresa Serviços Z;CP022
T10_008;09/10/2025;17:00:00;Saída;-10.000,00;Campanha de Marketing (Reforço);Marketing;Banco A (Corrente);TED;Compensado;Agência Digital;CR022
T10_009;10/10/2025;13:45:00;Entrada;7.000,00;Venda Lote 12;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Psi;CP023
T10_010;11/10/2025;19:00:00;Entrada;500;Recebimento de Fim de Semana;Vendas;Banco B (Poupança);PIX;Compensado;Cliente Omega;CR023
T10_011;13/10/2025;09:10:00;Saída;-900;Conta de Água/Esgoto;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Água;CP024
T10_012;14/10/2025;15:40:00;Entrada;3.500,00;Venda Lote 13;Vendas;Banco A (Corrente);TED;Compensado;Cliente Delta;CR024
T10_013;15/10/2025;12:00:00;Saída;-1.000,00;Material de Limpeza;Despesas Operacionais;Caixa;Dinheiro;Compensado;Supermercado Local;CP025
T10_014;16/10/2025;11:30:00;Entrada;5.800,00;Venda Lote 14;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Alfa;CR025
T10_015;16/10/2025;19:15:00;Saída;-350;Jantar de Negócios;Despesas Operacionais;Cartão Crédito;Cartão Crédito;Compensado;Restaurante Boa Mesa;CP026
T10_016;17/10/2025;09:40:00;Saída;-1.500,00;Material de Embalagem;Fornecedores;Banco A (Corrente);Boleto;Compensado;Fornecedor Beta;CP027
T10_017;17/10/2025;16:55:00;Entrada;2.100,00;Prestação de Serviço (Treinamento);Prestação de Serviços;Banco B (Poupança);TED;Compensado;Empresa Serviços Z;CR026
T10_018;20/10/2025;10:20:00;Entrada;8.500,00;Venda Lote 15;Vendas;Banco A (Corrente);TED;Compensado;Cliente Mu;CP028
T10_019;20/10/2025;17:30:00;Saída;-4.000,00;Compra de Software;Despesas Operacionais;Banco A (Corrente);Boleto;Compensado;Fornecedor de TI;CR027
T10_020;21/10/2025;12:00:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CP029
T10_021;22/10/2025;08:30:00;Saída;-12.000,00;Aporte em Investimento;Investimentos;Banco A (Corrente);TED;Compensado;Corretora XPTO;CR028
T10_022;22/10/2025;22:45:00;Entrada;450;Venda Online Noturna;Vendas;Banco B (Poupança);Cartão Crédito;Compensado;Cliente Zeta;CP030
T10_023;23/10/2025;15:10:00;Entrada;3.200,00;Venda Lote 16;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Pi;CR029
T10_024;24/10/2025;11:50:00;Saída;-500;Reparo de Veículo;Despesas Operacionais;Caixa;Dinheiro;Compensado;Mecânica Jota;CP031
T10_025;24/10/2025;17:00:00;Entrada;9.000,00;Venda Lote 17 (Grande);Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Alfa;CR030
T10_026;25/10/2025;10:00:00;Entrada;1.500,00;Prestação de Serviço (Extra);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Cliente Nu;CP032
T10_027;27/10/2025;13:00:00;Saída;-750;Publicidade em Rede Social;Marketing;Cartão Crédito;Cartão Crédito;Compensado;Agência Digital;CR031
T10_028;28/10/2025;09:10:00;Entrada;4.000,00;Venda Lote 18;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Beta;CP033
T10_029;29/10/2025;18:05:00;Saída;-23.500,00;Salários (Parte Final/Completo);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CR032
T10_030;30/10/2025;14:00:00;Entrada;6.500,00;Venda Lote 19;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Tau;CP034
T11_001;01/11/2025;12:00:00;Entrada;7.500,00;Venda Lote 20 (Início do Mês);Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Rho;CR033
T11_002;03/11/2025;10:00:00;Saída;-35.000,00;Compra de Estoque (Grande);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Delta;CP035
T11_003;03/11/2025;15:00:00;Entrada;3.000,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Y;CR034
T11_004;04/11/2025;17:30:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CP036
T11_005;05/11/2025;09:00:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CR035
T11_006;05/11/2025;21:00:00;Entrada;250;Venda Pequena Noturna;Vendas;Caixa;Dinheiro;Compensado;Cliente Epsilon;CP037
T11_007;06/11/2025;14:00:00;Saída;-1.200,00;Aquisição de Domínio Web;Marketing;Cartão Crédito;Cartão Crédito;Compensado;Registro Web;CR036
T11_008;07/11/2025;10:45:00;Entrada;4.900,00;Venda Lote 21;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Zeta;CP038
T11_009;10/11/2025;16:30:00;Saída;-800;Conta de Água/Esgoto;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Água;CR037
T11_010;11/11/2025;11:00:00;Entrada;6.000,00;Venda Lote 22;Vendas;Banco A (Corrente);TED;Compensado;Cliente Lambda;CP039
T11_011;11/11/2025;20:30:00;Saída;-50;Tarifa Bancária (incoerência);Despesas Operacionais;Banco B (Poupança);Débito Automático;Compensado;Banco B;CR038
T11_012;12/11/2025;15:20:00;Entrada;2.500,00;Prestação de Serviço (Consultoria);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Cliente Rho;CP040
T11_013;13/11/2025;13:00:00;Saída;-1.500,00;Despesas de Viagem e Hospedagem;Despesas Operacionais;Cartão Crédito;Cartão Crédito;Compensado;Hotel XYZ;CR039
T11_014;14/11/2025;17:10:00;Entrada;7.200,00;Venda Lote 23;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Mu;CP041
T11_015;15/11/2025;10:30:00;Entrada;1.200,00;Venda no Fim de Semana (incoerência);Vendas;Banco B (Poupança);Cartão Crédito;Compensado;Cliente Nu;CR040
T11_016;17/11/2025;09:00:00;Saída;-1.800,00;Pagamento de Serviços Terceirizados;Despesas Operacionais;Banco A (Corrente);PIX;Compensado;Prestador X;CP042
T11_017;18/11/2025;14:40:00;Entrada;4.100,00;Venda Lote 24;Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Alfa;CR041
T11_018;19/11/2025;11:15:00;Saída;-8.000,00;Campanha de Marketing (Black Friday);Marketing;Banco A (Corrente);TED;Compensado;Agência Digital;CP043
T11_019;20/11/2025;16:50:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CR042
T11_020;21/11/2025;18:15:00;Saída;-200;Material de Limpeza;Despesas Operacionais;Caixa;Dinheiro;Compensado;Supermercado Local;CP044
T11_021;24/11/2025;10:00:00;Entrada;9.500,00;Venda Lote 25 (Pré-Black Friday);Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Tau;CR043
T11_022;25/11/2025;15:30:00;Saída;-22.000,00;Salários (Final do Mês);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CP045
T11_023;26/11/2025;11:45:00;Entrada;3.500,00;Prestação de Serviço (Fechamento);Prestação de Serviços;Banco A (Corrente);PIX;Compensado;Empresa Serviços Z;CR044
T11_024;27/11/2025;14:00:00;Saída;-1.800,00;Juros e Encargos (Atraso no Fornecedor);Multas/Juros;Banco A (Corrente);Débito Automático;Compensado;Fornecedor Delta;CP046
T11_025;28/11/2025;17:00:00;Entrada;12.500,00;Venda Lote 26 (Black Friday);Vendas;Banco A (Corrente);TED;Compensado;Cliente Omicron;CP047
T11_026;29/11/2025;09:30:00;Saída;-500;Despesa com Contabilidade;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Escritório Contábil;CR045
T11_027;29/11/2025;15:00:00;Entrada;800;Venda Pequena Extra (Sábado);Vendas;Banco B (Poupança);PIX;Compensado;Cliente Eta;CP048
T12_001;01/12/2025;10:00:00;Entrada;6.500,00;Venda Lote 27 (Início do Mês);Vendas;Banco A (Corrente);PIX;Compensado;Cliente Gama;CR046
T12_002;02/12/2025;14:30:00;Saída;-40.000,00;Compra de Estoque (Alto Volume - Natal);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Kappa;CP049
T12_003;03/12/2025;11:00:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CR047
T12_004;04/12/2025;17:00:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CP050
T12_005;05/12/2025;09:15:00;Entrada;5.800,00;Venda Lote 28;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Lambda;CR048
T12_006;05/12/2025;14:40:00;Saída;-1.500,00;Despesas com Brindes de Fim de Ano;Marketing;Cartão Crédito;Cartão Crédito;Compensado;Fornecedor de Brindes;CP051
T12_007;08/12/2025;10:30:00;Entrada;3.000,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Z;CR049
T12_008;09/12/2025;15:00:00;Saída;-900;Conta de Luz (Aumento de Consumo);Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Energia;CP052
T12_009;10/12/2025;12:00:00;Entrada;7.500,00;Venda Lote 29 (Mês de Natal);Vendas;Banco A (Corrente);PIX;Compensado;Cliente Mu;CR050
T12_010;11/12/2025;16:45:00;Saída;-15.000,00;13º Salário (1ª Parcela);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CP053
T12_011;12/12/2025;10:50:00;Entrada;1.200,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CR051
T12_012;13/12/2025;13:30:00;Saída;-300;Manutenção de Rotina;Despesas Operacionais;Caixa;Dinheiro;Compensado;Serviço Reparos;CP054
T12_013;15/12/2025;09:00:00;Entrada;8.000,00;Venda Lote 30 (Pico de Natal);Vendas;Banco A (Corrente);TED;Compensado;Cliente Nu;CR052
T12_014;16/12/2025;14:20:00;Saída;-2.000,00;Despesas com Confraternização;Marketing;Cartão Crédito;Cartão Crédito;Compensado;Restaurante de Eventos;CP055
T12_015;17/12/2025;11:15:00;Entrada;4.500,00;Prestação de Serviço (Urgente);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Empresa Serviços Y;CR053
T12_016;18/12/2025;16:00:00;Saída;-1.000,00;Licença Anual de Software;Despesas Operacionais;Banco A (Corrente);Boleto;Compensado;Fornecedor de TI;CP056
T12_017;19/12/2025;10:40:00;Entrada;6.200,00;Venda Lote 31;Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Alfa;CR054
T12_018;22/12/2025;14:00:00;Saída;-15.000,00;13º Salário (2ª Parcela);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CP057
T12_019;23/12/2025;17:30:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 3);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino C;CR055
T12_020;26/12/2025;09:30:00;Saída;-50;Tarifa de Fim de Ano;Despesas Operacionais;Banco A (Corrente);Débito Automático;Compensado;Banco A;CP058
T12_021;26/12/2025;15:10:00;Entrada;10.000,00;Venda Lote 32 (Super Venda);Vendas;Banco A (Corrente);TED;Compensado;Cliente Sigma;CR056
T12_022;27/12/2025;12:00:00;Entrada;900;Venda Extra (Sábado);Vendas;Caixa;Dinheiro;Compensado;Cliente Theta;CP059
T12_023;29/12/2025;14:45:00;Saída;-800;Material de Escritório (Estoque);Despesas Operacionais;Banco A (Corrente);PIX;Compensado;Papelaria Central;CR057
T12_024;30/12/2025;11:00:00;Entrada;5.500,00;Venda Lote 33 (Fechamento);Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Pi;CP060
T01_001;02/01/2026;10:00:00;Saída;-38.000,00;Compra de Estoque (Redução pós-natal);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Delta;CR058
T01_002;03/01/2026;15:00:00;Entrada;2.500,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Z;CP061
T01_003;05/01/2026;09:30:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CR059
T01_004;06/01/2026;17:40:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CP062
T01_005;07/01/2026;11:10:00;Entrada;4.500,00;Venda Lote 34;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Upsilon;CR060
T01_006;08/01/2026;14:00:00;Saída;-1.000,00;Manutenção de Software;Despesas Operacionais;Cartão Crédito;Cartão Crédito;Compensado;Fornecedor de TI;CP063
T01_007;09/01/2026;16:30:00;Entrada;6.000,00;Venda Lote 35;Vendas;Banco A (Corrente);TED;Compensado;Cliente Chi;CR061
T01_008;12/01/2026;09:00:00;Saída;-850;Conta de Luz;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Energia;CP064
T01_009;13/01/2026;14:45:00;Entrada;3.200,00;Venda Lote 36;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Psi;CR062
T01_010;14/01/2026;11:00:00;Saída;-1.500,00;Despesas com Treinamento de Equipe;Despesas Operacionais;Banco A (Corrente);PIX;Compensado;Instrutor Alpha;CP065
T01_011;15/01/2026;17:15:00;Entrada;1.200,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CP066
T01_012;16/01/2026;12:30:00;Saída;-200;Tarifa de Débito Automático;Despesas Operacionais;Banco A (Corrente);Débito Automático;Compensado;Banco A;CR063
T01_013;19/01/2026;10:00:00;Entrada;7.000,00;Venda Lote 37;Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Omega;CP067
T01_014;20/01/2026;15:30:00;Saída;-500;Material de Limpeza;Despesas Operacionais;Caixa;Dinheiro;Compensado;Supermercado Local;CR064
T01_015;21/01/2026;11:45:00;Entrada;2.800,00;Prestação de Serviço (Novo Cliente);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Cliente Pi;CP068
T01_016;22/01/2026;16:00:00;Saída;-6.000,00;Campanha de Marketing (Início do Ano);Marketing;Banco A (Corrente);TED;Compensado;Agência Digital;CR065
T01_017;23/01/2026;10:50:00;Entrada;5.500,00;Venda Lote 38;Vendas;Banco A (Corrente);TED;Compensado;Cliente Delta;CP069
T01_018;26/01/2026;14:00:00;Saída;-21.000,00;Salários (Fevereiro Adiantamento);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CR066
T01_019;27/01/2026;17:20:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 3);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino C;CP070
T01_020;28/01/2026;12:15:00;Entrada;4.200,00;Venda Lote 39;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Mu;CR067
T01_021;29/01/2026;18:00:00;Saída;-400;Reparo de Móveis;Despesas Operacionais;Caixa;Dinheiro;Compensado;Serviço Reparos;CP071
T01_022;30/01/2026;09:45:00;Entrada;7.500,00;Venda Lote 40;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Nu;CR068
T02_001;02/02/2026;10:30:00;Saída;-28.000,00;Compra de Matéria-Prima (Fevereiro);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Kappa;CP072
T02_002;03/02/2026;15:00:00;Entrada;3.500,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Y;CR069
T02_003;04/02/2026;17:00:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CP073
T02_004;05/02/2026;09:00:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CR070
T02_005;06/02/2026;14:20:00;Entrada;5.000,00;Venda Lote 41;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Zeta;CP074
T02_006;07/02/2026;10:00:00;Saída;-1.200,00;Despesa com Contabilidade;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Escritório Contábil;CR071
T02_007;09/02/2026;15:45:00;Entrada;4.800,00;Venda Lote 42;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Lambda;CP075
T02_008;10/02/2026;13:00:00;Saída;-700;Conta de Água/Esgoto;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Água;CR072
T02_009;11/02/2026;16:50:00;Entrada;6.500,00;Venda Lote 43;Vendas;Banco A (Corrente);TED;Compensado;Cliente Rho;CP076
T02_010;12/02/2026;10:00:00;Saída;-50;Taxa de Manutenção (Fevereiro);Despesas Operacionais;Banco A (Corrente);Débito Automático;Compensado;Banco A;CR073
T02_011;13/02/2026;15:10:00;Entrada;1.200,00;Renda de Aluguéis (Imóvel 2);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino B;CP077
T02_012;16/02/2026;09:30:00;Saída;-1.500,00;Pagamento de Serviços Terceirizados;Despesas Operacionais;Banco A (Corrente);PIX;Compensado;Prestador X;CR074
T02_013;17/02/2026;14:00:00;Entrada;7.000,00;Venda Lote 44;Vendas;Banco A (Corrente);Boleto;Compensado;Cliente Mu;CP078
T02_014;18/02/2026;17:30:00;Saída;-4.000,00;Reforço de Estoque;Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Xi;CR075
T02_015;19/02/2026;10:00:00;Entrada;2.100,00;Prestação de Serviço (Pequeno Projeto);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Cliente Nu;CP079
T02_016;20/02/2026;11:45:00;Saída;-300;Despesa com Café e Lanches;Despesas Operacionais;Caixa;Dinheiro;Compensado;Padaria Local;CR076
T02_017;23/02/2026;15:30:00;Entrada;8.500,00;Venda Lote 45;Vendas;Banco A (Corrente);TED;Compensado;Cliente Alfa;CP080
T02_018;24/02/2026;12:00:00;Saída;-20.000,00;Salários (Parte Final);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CR077
T02_019;25/02/2026;16:10:00;Entrada;4.000,00;Prestação de Serviço (Fechamento);Prestação de Serviços;Banco A (Corrente);Cartão Crédito;Compensado;Empresa Serviços Z;CP081
T02_020;26/02/2026;18:00:00;Saída;-1.000,00;Publicidade (Facebook Ads);Marketing;Cartão Crédito;Cartão Crédito;Compensado;Agência Digital;CR078
T02_021;27/02/2026;09:40:00;Entrada;6.200,00;Venda Lote 46;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Beta;CP082
T02_022;28/02/2026;15:00:00;Entrada;1.100,00;Renda de Aluguéis (Imóvel 3);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino C;CR079
T03_001;02/03/2026;10:00:00;Saída;-30.000,00;Compra de Estoque (Março);Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Phi;CP083
T03_002;03/03/2026;15:00:00;Entrada;2.500,00;Prestação de Serviço (Recorrente);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Z;CR080
T03_003;04/03/2026;17:30:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CP084
T03_004;05/03/2026;09:00:00;Entrada;1.800,00;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CP085
T03_005;06/03/2026;14:00:00;Entrada;5.500,00;Venda Lote 47;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Gama;CR081
T03_006;07/03/2026;10:00:00;Saída;-900;Conta de Luz;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Fornecedor Energia;CP086
T03_007;09/03/2026;15:00:00;Entrada;4.200,00;Venda Lote 48;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Theta;CR082
T03_008;10/03/2026;13:00:00;Saída;-1.500,00;Consultoria de Processos;Despesas Operacionais;Banco A (Corrente);TED;Compensado;Consultoria Alpha;CP087
T03_009;11/03/2026;16:50:00;Entrada;6.800,00;Venda Lote 49;Vendas;Banco A (Corrente);TED;Compensado;Cliente Sigma;CR083
